iter	Passed	Remaining
577	7226	5276
578	7236	5261
579	7247	5248
580	7259	5235
581	7269	5221
582	7281	5208
583	7292	5194
584	7304	5181
585	7315	5168
586	7327	5155
587	7337	5141
588	7348	5127
589	7357	5113
590	7368	5099
591	7378	5084
592	7388	5071
593	7399	5057
594	7409	5043
595	7419	5029
596	7441	5023
597	7451	5008
598	7465	4997
599	7475	4983
600	7487	4971
601	7499	4958
602	7510	4944
603	7521	4931
604	7532	4917
605	7541	4903
606	7552	4889
607	7561	4875
608	7576	4864
609	7586	4850
610	7595	4835
611	7606	4822
612	7618	4809
613	7628	4795
614	7638	4781
615	7648	4767
616	7660	4755
617	7673	4742
618	7685	4730
619	7695	4716
620	7706	4703
621	7716	4689
622	7728	4676
623	7737	4662
624	7748	4649
625	7759	4635
626	7771	4623
627	7781	4609
628	7790	4595
629	7803	4583
630	7814	4569
631	7824	4556
632	7836	4543
633	7845	4529
634	7856	4515
635	7869	4503
636	7882	4492
637	7895	4479
638	7909	4468
639	7918	4454
640	7928	4440
641	7941	4428
642	7952	4415
643	7962	4401
644	7972	4387
645	7983	4375
646	7993	4361
647	8003	4347
648	8012	4333
649	8021	4319
650	8032	4306
651	8040	4291
652	8050	4277
653	8060	4264
654	8069	4250
655	8079	4236
656	8089	4223
657	8098	4209
658	8106	4194
659	8115	4180
660	8125	4167
661	8135	4153
662	8145	4140
663	8155	4126
664	8165	4113
665	8176	4100
666	8187	4087
667	8197	4074
668	8209	4061
669	8221	4049
670	8230	4035
671	8242	4022
672	8251	4009
673	8263	3997
674	8275	3984
675	8287	3971
676	8300	3960
677	8312	3947
678	8322	3934
679	8332	3921
680	8341	3907
681	8352	3894
682	8361	3880
683	8371	3867
684	8381	3854
685	8390	3840
686	8400	3827
687	8410	3814
688	8420	3800
689	8430	3787
690	8439	3773
691	8448	3760
692	8457	3746
693	8466	3733
694	8476	3720
695	8485	3706
696	8495	3692
697	8505	3679
698	8515	3666
699	8525	3653
700	8534	3640
701	8547	3628
702	8557	3615
703	8569	3603
704	8578	3589
705	8626	3592
706	8650	3584
707	8684	3581
708	8700	3570
709	8713	3558
710	8726	3547
711	8740	3535
712	8754	3523
713	8768	3512
714	8782	3500
715	8798	3489
716	8817	3480
717	8837	3470
718	8856	3461
719	8877	3452
720	8899	3443
721	8920	3434
722	8940	3425
723	8958	3415
724	8978	3405
725	8994	3394
726	9010	3383
727	9027	3372
728	9042	3361
729	9057	3350
730	9072	3338
731	9088	3327
732	9110	3318
733	9128	3308
734	9151	3299
735	9171	3289
736	9190	3279
737	9207	3268
738	9222	3257
739	9240	3246
740	9255	3235
741	9271	3223
742	9286	3212
743	9301	3200
744	9319	3189
745	9336	3178
746	9353	3168
747	9369	3156
748	9384	3144
749	9399	3133
750	9414	3121
751	9430	3109
752	9445	3098
753	9462	3087
754	9477	3075
755	9491	3063
756	9503	3050
757	9516	3038
758	9528	3025
759	9540	3012
760	9551	2999
761	9564	2987
762	9576	2974
763	9587	2961
764	9599	2948
765	9612	2936
766	9623	2923
767	9637	2911
768	9649	2898
769	9661	2885
770	9674	2873
771	9686	2860
772	9701	2848
773	9714	2836
774	9728	2824
775	9742	2812
776	9754	2799
777	9767	2787
778	9784	2775
779	9797	2763
780	9812	2751
781	9825	2739
782	9839	2726
783	9853	2714
784	9866	2702
785	9879	2689
786	9892	2677
787	9904	2664
788	9918	2652
789	9932	2640
790	9945	2627
791	9960	2615
792	9976	2604
793	9994	2593
794	10009	2581
795	10024	2568
796	10038	2556
797	10052	2544
798	10064	2531
799	10077	2519
800	10090	2506
801	10105	2494
802	10121	2483
803	10134	2470
804	10148	2458
805	10162	2446
806	10176	2433
807	10188	2421
808	10201	2408
809	10213	2395
810	10226	2383
811	10238	2370
812	10251	2357
813	10264	2345
814	10279	2333
815	10293	2321
816	10308	2308
817	10321	2296
818	10336	2284
819	10350	2272
820	10363	2259
821	10377	2247
822	10391	2234
823	10407	2222
824	10423	2210
825	10436	2198
826	10451	2186
827	10465	2173
828	10477	2161
829	10491	2148
830	10504	2136
831	10518	2123
832	10531	2111
833	10544	2098
834	10558	2086
835	10572	2074
836	10586	2061
837	10600	2049
838	10614	2036
839	10627	2024
840	10640	2011
841	10654	1999
842	10669	1987
843	10682	1974
844	10695	1961
845	10708	1949
846	10721	1936
847	10734	1924
848	10748	1911
849	10761	1899
850	10774	1886
851	10788	1874
852	10801	1861
853	10814	1848
854	10827	1836
855	10839	1823
856	10853	1810
857	10867	1798
858	10880	1785
859	10892	1773
860	10905	1760
861	10917	1747
862	10930	1735
863	10942	1722
864	10956	1710
865	10971	1697
866	10984	1685
867	10998	1672
868	11011	1659
869	11023	1647
870	11037	1634
871	11050	1622
872	11062	1609
873	11075	1596
874	11088	1584
875	11102	1571
876	11115	1558
877	11127	1546
878	11140	1533
879	11152	1520
880	11164	1508
881	11177	1495
882	11189	1482
883	11202	1469
884	11213	1457
885	11226	1444
886	11239	1431
887	11251	1419
888	11265	1406
889	11277	1393
890	11290	1381
891	11304	1368
892	11318	1356
893	11330	1343
894	11344	1330
895	11357	1318
896	11371	1305
897	11384	1293
898	11398	1280
899	11411	1267
900	11424	1255
901	11437	1242
902	11451	1230
903	11464	1217
904	11478	1204
905	11491	1192
906	11504	1179
907	11517	1166
908	11531	1154
909	11555	1142
910	11576	1130
911	11601	1119
912	11619	1107
913	11640	1095
914	11659	1083
915	11681	1071
916	11704	1059
917	11723	1047
918	11738	1034
919	11754	1022
920	11768	1009
921	11783	996
922	11799	984
923	11813	971
924	11838	959
925	11858	947
926	11877	935
927	11894	922
928	11910	910
929	11928	897
930	11946	885
931	11967	873
932	11991	861
933	12009	848
934	12027	836
935	12042	823
936	12057	810
937	12072	797
938	12087	785
939	12101	772
940	12115	759
941	12130	746
